package_name,weekly_downloads,repeated_characters,omitted_characters,swapped_characters,swapped_words,common_typos,version_numbers
graphqly,1,,graphql,,,,
object.is,1,,,,object-is,object-is,
domy,3,,,,,dom7,
apidox,34,,,,,apidoc,
gulp-tinstall,0,,gulp-install,,,,
aabb,1,,,abab,,,
lazy-eval,52,,lazy-val,,,,
imockjs,1,,mockjs,,,,
fs-rsync,2,,fs-sync,,,,
inherito,8,,inherit,,,,
guild,1361,,,,,build,
sss,3,,,,,xss,
nodeunit2,1,,nodeunit,,,,nodeunit
rimrafx,2,,rimraf,,,,
urrl,1,url,,,,,
mobx-preact-devtools,1,,mobx-react-devtools,,,,
mb,20,,,,,mv,
normalize-paths,487,,normalize-path,,,,
spyd,15,,,spdy,,,
promise-tmp,1,,,,tmp-promise,,
ngx-pick-datetime,1,,ng-pick-datetime,,,,
etherfs,0,,ethers,,,,
npmy,12,,,,,npmi,
webpack-plugin-assets,0,,,,assets-webpack-plugin,,
fa,36,,,,,fs,
ioa-cors,1,,,,,koa-cors,
qjson-loader,0,,json-loader,,,,
match-files,19,,match-file,,,,
codd,7,,,,,code,
yygen,2,,,,,hygen,
ipy,1,,,,,ip6,
cqc,167,,,,,cac,
nubot,27,,,,,hubot,
emitteri,9,,,,,emittery,
extend-class,0,,,,class-extend,,
jesy,67,,,,,jest,
lmoment,18,,moment,,,,
trtc,1,,,rttc,,,
opstream,1,,,,,o-stream,
reax,2,,,,,read,
recompress,1,,,,,decompress,
@pie-elements/multiple-choice,1,,@pie-element/multiple-choice,,,,
vlatten,1,,,,,flatten,
dupdate,0,,update,,,,
ssh-tunnel,1,,,,tunnel-ssh,,
configg,9,config,config,,,,
jsonminify2,4,,jsonminify,,,,jsonminify
is_integer,0,,,,is-integer,is-integer,
shc,1,,,,,shx,
cpf,5694,,,,,cpr,
yip,2,,,,,yup,
cpipe,0,,,,,xpipe,
y-emitter,22,,,,emittery,,
isbn,254,,,,,jsbn,
spry,1,,,,,spdy,
fl0w,0,,,,,flow,
wve,1,,,,,eve,
flat-array-polyfill,1,,,,array-flat-polyfill,,
bfjs,0,,,fbjs,,,
