package_name,total_packages_installed,normal_time,typosquatting_time,difference,overhead,,,
css-select,9,1.7831346,1.8409023,0.0577677,0.032396713,,,
argparse,2,3.2860264,1.7449833,-1.5410431,-0.468968569,,,
undertaker-registry,1,1.4370385,1.3689082,-0.0681303,-0.047410212,,,
functional-red-black-tree,1,1.1886893,1.3225168,0.1338275,0.112584087,,,
has-hover,2,1.6197963,1.4431584,-0.1766379,-0.109049453,,,
gcp-metadata,13,2.3031605,2.3054351,0.0022746,0.000987599,,,
is-absolute-url,1,1.2598555,1.4963471,0.2364916,0.187713273,,,
parse5,1,1.4314071,1.4089769,-0.0224302,-0.015670035,,,
postcss-convert-values,12,2.3968564,2.6386839,0.2418275,0.100893612,,,
https-proxy-agent,4,1.6386701,1.868815,0.2301449,0.140446146,,,
aria-query,5,9.9008066,9.6350586,-0.265748,-0.026841045,,,
cache-base,27,2.5780785,2.7840711,0.2059926,0.079901601,,,
regexpp,1,1.3097824,1.7660477,0.4562653,0.348351986,,,
strip-ansi,2,1.4793254,1.6218925,0.1425671,0.096373049,,,
postcss-normalize-repeat-style,14,2.2976146,2.1644823,-0.1331323,-0.057943704,,,
minimist,1,1.7100083,1.5801726,-0.1298357,-0.075926941,,,
babel-generator,16,3.6897622,3.3354607,-0.3543015,-0.096022855,,,
exit,1,1.3753863,1.5382038,0.1628175,0.118379469,,,
#NAME?,3,1.7730426,1.6279036,-0.145139,-0.081858721,,,
isstream,1,1.3287241,1.6626556,0.3339315,0.25131741,,,
postcss-discard-duplicates,11,2.5497259,2.2006853,-0.3490406,-0.136893381,,,
which,2,1.3702507,1.5098614,0.1396107,0.101886976,,,
browserify-sign,25,2.5639091,2.5930917,0.0291826,0.011382073,,,
regjsparser,2,1.3220531,1.5246988,0.2026457,0.15328106,,,
wdio-chromedriver-service,17,2.2997619,2.1837019,-0.11606,-0.050466094,,,
#NAME?,2,1.5584397,1.7293965,0.1709568,0.109697411,,,
http-signature,16,2.1645524,2.1579253,-0.0066271,-0.003061649,,,
#NAME?,19,2.9268813,2.621799,-0.3050823,-0.104234599,,,
content-disposition,2,1.5811738,1.6012461,0.0200723,0.012694556,,,
add,1,1.3903958,1.307648,-0.0827478,-0.059513845,,,
react-reconciler,7,2.1164407,2.2032965,0.0868558,0.041038617,,,
boxen,24,2.4936613,2.6805364,0.1868751,0.074940049,,,
aws-sdk,14,6.2383297,6.2123667,-0.025963,-0.004161851,,,
recast,5,1.7484635,1.9359623,0.1874988,0.107236325,,,
content-type,1,1.481251,1.3591059,-0.1221451,-0.082460771,,,
broccoli-merge-trees,48,4.3325293,4.7672627,0.4347334,0.10034171,,,
undertaker,38,5.8922657,6.4427251,0.5504594,0.093420668,,,
path-parse,1,1.4397607,1.3553352,-0.0844255,-0.058638564,,,
array-differ,1,1.4529009,1.4495221,-0.0033788,-0.002325554,,,
supports-color,2,1.5989396,1.7702234,0.1712838,0.107123371,,,
protoduck,2,1.429816,1.6277655,0.1979495,0.138444038,,,
#NAME?,11,2.2261769,2.1816692,-0.0445077,-0.019992886,,,
#NAME?,4,1.7064719,1.5354216,-0.1710503,-0.100236224,,,
union-value,5,1.6228494,1.6672239,0.0443745,0.027343572,,,
array-equal,1,1.3986082,1.4632085,0.0646003,0.04618899,,,
define-properties,2,1.4548511,1.7348874,0.2800363,0.192484509,,,
npm-pick-manifest,12,2.3788253,2.2602849,-0.1185404,-0.049831486,,,
#NAME?,2,1.5026329,1.5135378,0.0109049,0.007257195,,,
karma-json-fixtures-preprocessor,1,1.1695213,1.334752,0.1652307,0.141280625,,,
debug,2,1.6085297,1.4532171,-0.1553126,-0.096555631,,,
ws,1,1.5012749,1.3836023,-0.1176726,-0.078381781,,,
inherits,1,1.4417316,1.4609003,0.0191687,0.013295609,,,
extsprintf,1,1.4227593,1.3935731,-0.0291862,-0.0205138,,,
trim-lines,1,1.3967397,1.5075175,0.1107778,0.0793117,,,
#NAME?,2,1.4974785,1.7091423,0.2116638,0.141346804,,,
bn.js,1,1.4312749,1.4672862,0.0360113,0.025160296,,,
