package_name,repeated_characters,omitted_characters,swapped_characters,swapped_words,common_typos,version_numbers
apns3,n/a,n/a,n/a,n/a,apns2,n/a
file-magic,n/a,filemagic,n/a,filemagic,filemagic,n/a
date-parser,n/a,dateparser,n/a,dateparser,dateparser,n/a
fidentify,n/a,identify,n/a,n/a,n/a,n/a
interval3,n/a,interval,n/a,n/a,n/a,interval
shh,sh,n/a,n/a,n/a,n/a,n/a
hrpy,n/a,n/a,n/a,n/a,h5py,n/a
ares,n/a,n/a,n/a,n/a,area,n/a
importlib2,n/a,importlib,n/a,n/a,n/a,importlib
flom,n/a,n/a,n/a,n/a,glom,n/a
ulogger,n/a,logger,n/a,n/a,n/a,n/a
pystt,n/a,n/a,n/a,n/a,pysrt,n/a
xonfig,n/a,n/a,n/a,n/a,config,n/a
pdutil,n/a,n/a,n/a,n/a,psutil,n/a
qrcodes,n/a,qrcode,n/a,n/a,n/a,n/a
patsi,n/a,n/a,n/a,n/a,patsy,n/a
combi,n/a,n/a,n/a,n/a,combo,n/a
pytest-timeouts,n/a,pytest-timeout,n/a,n/a,n/a,n/a
binplist,n/a,biplist,n/a,n/a,n/a,n/a
pyopt,n/a,n/a,pyotp,n/a,n/a,n/a
db-utils,n/a,dbutils,n/a,dbutils,dbutils,n/a
sun,n/a,n/a,n/a,n/a,svn,n/a
oprint,n/a,n/a,n/a,n/a,pprint,n/a
auto-semver,n/a,autosemver,n/a,autosemver,autosemver,n/a
pyy,py,n/a,n/a,n/a,n/a,n/a
jdna,n/a,n/a,n/a,n/a,idna,n/a
pyxes,n/a,n/a,n/a,n/a,pydes,n/a
kss,n/a,n/a,n/a,n/a,mss,n/a
ptwinrm,n/a,n/a,n/a,n/a,pywinrm,n/a
tqpy,n/a,n/a,qtpy,n/a,n/a,n/a
rash,n/a,n/a,n/a,n/a,dash,n/a
bupper,n/a,n/a,n/a,n/a,hupper,n/a
py-tesseract,n/a,pytesseract,n/a,pytesseract,pytesseract,n/a
erequests,n/a,requests,n/a,n/a,n/a,n/a
jose,n/a,n/a,n/a,n/a,nose,n/a
imagehash3,n/a,imagehash,n/a,n/a,n/a,imagehash
pyexpect,n/a,pexpect,n/a,n/a,n/a,n/a
dojango,n/a,django,n/a,n/a,n/a,n/a
mwt,n/a,n/a,n/a,n/a,jwt,n/a
flick,n/a,n/a,n/a,n/a,click,n/a
sgrequests,n/a,grequests,n/a,n/a,n/a,n/a
aresponses,n/a,responses,n/a,n/a,n/a,n/a
djangorestframework-camel-case2,n/a,djangorestframework-camel-case,n/a,n/a,n/a,djangorestframework-camel-case
aaargh,argh,n/a,n/a,n/a,n/a,n/a
py.test,n/a,pytest,n/a,pytest,pytest,n/a
requestx,n/a,request,n/a,n/a,requests,n/a
genopandas,n/a,geopandas,n/a,n/a,n/a,n/a
bittle,n/a,n/a,n/a,n/a,bottle,n/a
fortools,n/a,ortools,n/a,n/a,n/a,n/a
gorylla,n/a,n/a,n/a,n/a,gorilla,n/a
bit_array,n/a,bitarray,n/a,bitarray,bitarray,n/a
vibe,n/a,n/a,n/a,n/a,vine,n/a
odl,n/a,n/a,n/a,n/a,odo,n/a
b2,n/a,n/a,n/a,n/a,h2,n/a
swagger-spec-validator3,n/a,swagger-spec-validator,n/a,n/a,n/a,swagger-spec-validator
elib,n/a,n/a,n/a,n/a,dlib,n/a
markup.py,n/a,markuppy,n/a,markuppy,markuppy,n/a
parts,n/a,n/a,n/a,n/a,partd,n/a
yld,n/a,n/a,n/a,n/a,tld,n/a
pytx,n/a,n/a,n/a,n/a,pytz,n/a
day,n/a,n/a,n/a,n/a,ray,n/a
fis3,n/a,n/a,n/a,n/a,dis3,n/a
ilogger,n/a,logger,n/a,n/a,n/a,n/a
dmango,n/a,n/a,n/a,n/a,django,n/a
python3-nmap,n/a,python-nmap,n/a,n/a,n/a,n/a
