package_name,total_packages_installed,normal_time,typosquatting_time,difference,,,,
strict-uri-encode,1,1.3144746,1.4092251,0.0947505,,,,
semver,1,1.2925764,1.5166676,0.2240912,,,,
tslint,37,4.3916778,4.5130746,0.1213968,,,,
normalize-url,1,1.3133189,1.4029814,0.0896625,,,,
chalk,7,2.0217406,1.9082787,-0.1134619,,,,
path-is-absolute,1,1.3967592,1.3781265,-0.0186327,,,,
#NAME?,7,1.9768176,2.4133584,0.4365408,,,,
lodash._basebind,8,1.7325006,1.9354235,0.2029229,,,,
repeat-string,1,1.5802914,1.4574674,-0.122824,,,,
jsbn,1,1.2374062,1.4264605,0.1890543,,,,
chownr,1,1.1468772,1.3906236,0.2437464,,,,
csv-generate,1,1.9854874,1.508178,-0.4773094,,,,
html-encoding-sniffer,4,1.6970876,1.8863355,0.1892479,,,,
#NAME?,2,1.5074897,1.6910048,0.1835151,,,,
redux,4,1.5708561,1.722086,0.1512299,,,,
babel-runtime,3,2.2476003,2.4589154,0.2113151,,,,
object-visit,2,1.4043012,1.5248948,0.1205936,,,,
node-gyp,101,6.8639446,6.9891568,0.1252122,,,,
debug,2,1.6016558,1.6248586,0.0232028,,,,
object-assign,1,1.3020884,1.4073008,0.1052124,,,,
function-bind,1,1.5629574,1.4560827,-0.1068747,,,,
tmp,13,2.2968937,2.1626423,-0.1342514,,,,
detect-newline,1,1.3083311,2.0561788,0.7478477,,,,
diff,1,1.3670789,1.4243865,0.0573076,,,,
nyc,135,11.5197927,11.3772486,-0.1425441,,,,
#NAME?,1,1.5419003,1.3268254,-0.2150749,,,,
object-visit,2,1.6741587,1.5119094,-0.1622493,,,,
decode-uri-component,1,1.3920974,1.4384591,0.0463617,,,,
pend,1,1.2999909,1.3493937,0.0494028,,,,
object-copy,10,1.9687526,1.8495512,-0.1192014,,,,
is-resolvable,1,1.41839,1.4506636,0.0322736,,,,
chalk,7,2.0645393,1.8440893,-0.22045,,,,
ssri,4,2.1853594,1.7556845,-0.4296749,,,,
postcss-value-parser,1,1.410096,1.3414708,-0.0686252,,,,
os-locale,27,2.9292148,2.9950947,0.0658799,,,,
xml2js,3,1.6852768,1.667473,-0.0178038,,,,
babel-code-frame,10,2.0773849,1.9798737,-0.0975112,,,,
postcss-modules-local-by-default,17,2.4734429,3.2208338,0.7473909,,,,
#NAME?,20,2.9869387,2.9271241,-0.0598146,,,,
parse-headers,1,1.4267202,1.5740201,0.1472999,,,,
webpack-dev-middleware,19,2.5912667,2.1517264,-0.4395403,,,,
cacache,53,3.9814264,4.198173,0.2167466,,,,
terser,5,2.0051907,1.8240984,-0.1810923,,,,
cssdb,1,1.4187437,1.5844068,0.1656631,,,,
apollo-cache,6,1.9467528,1.6997789,-0.2469739,,,,
postcss-focus-within,11,2.1182559,2.3055074,0.1872515,,,,
chokidar,15,2.365208,2.3698044,0.0045964,,,,
clean-urls,79,6.0048662,5.6642058,-0.3406604,,,,
batch,1,1.4187716,1.3119627,-0.1068089,,,,
extend-shallow,5,1.9364808,1.8518631,-0.0846177,,,,
ast-types-flow,1,1.6066436,1.4796664,-0.1269772,,,,
git-source,6,1.7706697,2.1766663,0.4059966,,,,
decode-uri-component,1,1.35769,1.3801345,0.0224445,,,,
p-reduce,1,1.2912464,1.8173518,0.5261054,,,,
whatwg-url,5,1.6075809,1.8652331,0.2576522,,,,
find-cache-dir,11,2.0533513,2.1212098,0.0678585,,,,
sass-graph,69,6.1424128,5.7548078,-0.387605,,,,
debug,2,1.6970155,1.4446407,-0.2523748,,,,
css-blank-pseudo,11,2.3646791,2.2111086,-0.1535705,,,,
#NAME?,19,3.2795773,3.38246,0.1028827,,,,
yallist,1,1.346857,1.3908632,0.0440062,,,,
is-descriptor,1,1.2475858,1.4794848,0.231899,,,,
term-size,1,2.4824182,1.3436686,-1.1387496,,,,
can-use-dom,1,1.5183006,1.293384,-0.2249166,,,,
forever-agent,1,1.3522629,1.6405802,0.2883173,,,,
#NAME?,1,1.4578402,1.3804939,-0.0773463,,,,
postcss,10,3.0772836,2.2207253,-0.8565583,,,,
trim-repeated,2,1.4610991,1.5476862,0.0865871,,,,
to-regex,14,2.004654,2.2509603,0.2463063,,,,
esprima,1,1.3337315,1.5851819,0.2514504,,,,
json-schema,1,1.1867593,1.4061989,0.2194396,,,,
regenerator-transform,2,1.388603,1.6664846,0.2778816,,,,
slide,1,1.2360826,1.3670039,0.1309213,,,,
#NAME?,32,3.589145,4.507971,0.918826,,,,
p-limit,2,1.3707917,1.5459989,0.1752072,,,,
browserify-des,6,1.8911344,1.7459224,-0.145212,,,,
node-gyp,101,6.7036816,6.7134951,0.0098135,,,,
etag,1,1.5044818,1.7772595,0.2727777,,,,
is-upper-case,2,1.1805967,1.4382619,0.2576652,,,,
json-stringify-safe,1,1.2865923,1.6149447,0.3283524,,,,
source-map,1,1.4998564,1.5682726,0.0684162,,,,
glob,11,2.0447161,1.9912763,-0.0534398,,,,
postcss-discard-comments,11,2.0416717,2.1610021,0.1193304,,,,
jest-message-util,283,19.7394076,19.8942177,0.1548101,,,,
better-queue-memory,1,1.4093011,1.2244838,-0.1848173,,,,
dompurify,1,1.2780111,1.4664474,0.1884363,,,,
#NAME?,89,7.5005283,6.9231943,-0.577334,,,,
qs,1,1.736125,1.3791193,-0.3570057,,,,
