package_name,total_packages_installed,normal_time,typosquatting_time,difference,,,,
strip-ansi,2,1.5632451,1.5896814,0.0264363,,,,
download,113,7.6626938,7.5764963,-0.0861975,,,,
process-nextick-args,1,1.5058817,1.5529137,0.047032,,,,
babel-plugin-transform-es2015-block-scoped-functions,4,2.342334,2.5256982,0.1833642,,,,
postcss-svgo,58,7.8901737,7.8022584,-0.0879153,,,,
source-map-support,3,1.4907538,1.6331158,0.142362,,,,
cliui,11,2.2357723,2.4711551,0.2353828,,,,
gherkin,22,3.3909843,3.4282193,0.037235,,,,
eventsource,5,2.1724414,2.2545181,0.0820767,,,,
jest-config,447,35.4311789,34.6412867,-0.7898922,,,,
is-path-cwd,1,1.3616989,1.6492685,0.2875696,,,,
p-try,1,1.2194984,1.5163531,0.2968547,,,,
#NAME?,2,1.4622517,1.687788,0.2255363,,,,
wrappy,1,1.4624984,1.547726,0.0852276,,,,
#NAME?,1,1.3301291,1.6571367,0.3270076,,,,
#NAME?,3,1.7626234,3.1369179,1.3742945,,,,
yargs,27,2.7976486,3.2552947,0.4576461,,,,
pm2-deploy,4,2.0907131,2.009309,-0.0814041,,,,
camelcase,1,1.4986022,1.351171,-0.1474312,,,,
execa,20,2.5604699,2.6876115,0.1271416,,,,
tslib,1,1.2993977,1.340854,0.0414563,,,,
setprototypeof,1,1.4690887,1.6060051,0.1369164,,,,
is-stream,1,1.3062243,1.4460374,0.1398131,,,,
clone,1,1.3562303,1.5020079,0.1457776,,,,
#NAME?,1,1.5091277,1.4004503,-0.1086774,,,,
array-union,1,1.3814533,1.5841911,0.2027378,,,,
fast-json-stable-stringify,1,1.2822868,1.4617791,0.1794923,,,,
#NAME?,28,4.1767207,4.0396981,-0.1370226,,,,
css-select,9,1.7831346,1.8409023,0.0577677,,,,
argparse,2,3.2860264,1.7449833,-1.5410431,,,,
undertaker-registry,1,1.4370385,1.3689082,-0.0681303,,,,
functional-red-black-tree,1,1.1886893,1.3225168,0.1338275,,,,
has-hover,2,1.6197963,1.4431584,-0.1766379,,,,
gcp-metadata,13,2.3031605,2.3054351,0.0022746,,,,
is-absolute-url,1,1.2598555,1.4963471,0.2364916,,,,
parse5,1,1.4314071,1.4089769,-0.0224302,,,,
postcss-convert-values,12,2.3968564,2.6386839,0.2418275,,,,
https-proxy-agent,4,1.6386701,1.868815,0.2301449,,,,
aria-query,5,9.9008066,9.6350586,-0.265748,,,,
cache-base,27,2.5780785,2.7840711,0.2059926,,,,
regexpp,1,1.3097824,1.7660477,0.4562653,,,,
strip-ansi,2,1.4793254,1.6218925,0.1425671,,,,
postcss-normalize-repeat-style,14,2.2976146,2.1644823,-0.1331323,,,,
minimist,1,1.7100083,1.5801726,-0.1298357,,,,
babel-generator,16,3.6897622,3.3354607,-0.3543015,,,,
exit,1,1.3753863,1.5382038,0.1628175,,,,
#NAME?,3,1.7730426,1.6279036,-0.145139,,,,
isstream,1,1.3287241,1.6626556,0.3339315,,,,
postcss-discard-duplicates,11,2.5497259,2.2006853,-0.3490406,,,,
which,2,1.3702507,1.5098614,0.1396107,,,,
browserify-sign,25,2.5639091,2.5930917,0.0291826,,,,
regjsparser,2,1.3220531,1.5246988,0.2026457,,,,
wdio-chromedriver-service,17,2.2997619,2.1837019,-0.11606,,,,
#NAME?,2,1.5584397,1.7293965,0.1709568,,,,
http-signature,16,2.1645524,2.1579253,-0.0066271,,,,
#NAME?,19,2.9268813,2.621799,-0.3050823,,,,
content-disposition,2,1.5811738,1.6012461,0.0200723,,,,
add,1,1.3903958,1.307648,-0.0827478,,,,
react-reconciler,7,2.1164407,2.2032965,0.0868558,,,,
boxen,24,2.4936613,2.6805364,0.1868751,,,,
aws-sdk,14,6.2383297,6.2123667,-0.025963,,,,
recast,5,1.7484635,1.9359623,0.1874988,,,,
content-type,1,1.481251,1.3591059,-0.1221451,,,,
broccoli-merge-trees,48,4.3325293,4.7672627,0.4347334,,,,
undertaker,38,5.8922657,6.4427251,0.5504594,,,,
path-parse,1,1.4397607,1.3553352,-0.0844255,,,,
array-differ,1,1.4529009,1.4495221,-0.0033788,,,,
supports-color,2,1.5989396,1.7702234,0.1712838,,,,
protoduck,2,1.429816,1.6277655,0.1979495,,,,
#NAME?,11,2.2261769,2.1816692,-0.0445077,,,,
#NAME?,4,1.7064719,1.5354216,-0.1710503,,,,
union-value,5,1.6228494,1.6672239,0.0443745,,,,
array-equal,1,1.3986082,1.4632085,0.0646003,,,,
define-properties,2,1.4548511,1.7348874,0.2800363,,,,
npm-pick-manifest,12,2.3788253,2.2602849,-0.1185404,,,,
#NAME?,2,1.5026329,1.5135378,0.0109049,,,,
karma-json-fixtures-preprocessor,1,1.1695213,1.334752,0.1652307,,,,
debug,2,1.6085297,1.4532171,-0.1553126,,,,
ws,1,1.5012749,1.3836023,-0.1176726,,,,
inherits,1,1.4417316,1.4609003,0.0191687,,,,
extsprintf,1,1.4227593,1.3935731,-0.0291862,,,,
trim-lines,1,1.3967397,1.5075175,0.1107778,,,,
#NAME?,2,1.4974785,1.7091423,0.2116638,,,,
bn.js,1,1.4312749,1.4672862,0.0360113,,,,
